,order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category,revenue,quarter,year,month,week_day
34,5284, Order Finished  , Annie Cyprus           ,2011-07-08,7,118760,0.1,11876, Office Supplies  , Binders and Binder Accessories ,106884,2011Q3,2011,July-2011,Friday
35,5316, Order Finished  , Clay Rozendal          ,2009-01-30,42,2570740,0.1,257074, Technology       , Computer Peripherals           ,2313666,2009Q1,2009,January-2009,Friday
36,5409, Order Finished  , Don Jones              ,2012-01-08,11,97820,0.01,978, Office Supplies  , Paper                          ,96842,2012Q1,2012,January-2012,Sunday
37,5506, Order Finished  , Beth Thompson          ,2010-11-07,22,259240,0.05,12962, Office Supplies  , Paper                          ,246278,2010Q4,2010,November-2010,Sunday
38,5569, Order Finished  , Frank Price            ,2010-04-29,12,237940,0.09,21415, Furniture        , Office Furnishings             ,216525,2010Q2,2010,April-2010,Thursday
39,5607, Order Finished  , Michelle Lonsdale      ,2011-12-31,8,123743,0.0,0, Technology       , Telephones and Communication   ,123743,2011Q4,2011,December-2011,Saturday
40,5894, Order Finished  , Ann Chong              ,2009-08-12,7,768660,0.1,76866, Office Supplies  , Binders and Binder Accessories ,691794,2009Q3,2009,August-2009,Wednesday
42,6016, Order Finished  , Skye Norling           ,2012-01-20,19,416560,0.07,29159, Office Supplies  , Paper                          ,387401,2012Q1,2012,January-2012,Friday
44,6182, Order Finished  , Grant Carroll          ,2012-07-21,40,510960,0.04,20438, Office Supplies  , Paper                          ,490522,2012Q3,2012,July-2012,Saturday
45,6535, Order Finished  , Adrian Hane            ,2012-06-12,11,624720,0.07,43730, Office Supplies  , Pens & Art Supplies            ,580990,2012Q2,2012,June-2012,Tuesday
46,6884, Order Finished  , Skye Norling           ,2009-01-15,41,434000,0.01,4340, Office Supplies  , Paper                          ,429660,2009Q1,2009,January-2009,Thursday
47,6916, Order Finished  , Andrew Gjertsen        ,2010-06-04,40,872340,0.08,69787, Office Supplies  , Storage & Organization         ,802553,2010Q2,2010,June-2010,Friday
48,6980, Order Finished  , Ralph Knight           ,2010-02-18,18,272580,0.05,13629, Office Supplies  , Binders and Binder Accessories ,258951,2010Q1,2010,February-2010,Thursday
49,6982, Order Finished  , Dorothy Wardle         ,2011-11-16,32,2622500,0.0,0, Technology       , Computer Peripherals           ,2622500,2011Q4,2011,November-2011,Wednesday
51,7430, Order Finished  , Barry Weirich          ,2010-06-08,50,1503540,0.05,75177, Office Supplies  , Envelopes                      ,1428363,2010Q2,2010,June-2010,Tuesday
52,7906, Order Finished  , Beth Paige             ,2009-10-17,37,2006120,0.03,60184, Office Supplies  , Appliances                     ,1945936,2009Q4,2009,October-2009,Saturday
53,8391, Order Finished  , Sylvia Foulston        ,2011-08-28,4,2533440,0.04,101338, Furniture        , Chairs & Chairmats             ,2432102,2011Q3,2011,August-2011,Sunday
54,8419, Order Finished  , Nicole Hansen          ,2011-09-29,19,736080,0.07,51526, Office Supplies  , Paper                          ,684554,2011Q3,2011,September-2011,Thursday
55,8833, Order Finished  , Nicole Hansen          ,2012-05-04,40,6677960,0.0,0, Office Supplies  , Storage & Organization         ,6677960,2012Q2,2012,May-2012,Friday
56,8995, Order Finished  , Beth Paige             ,2011-05-17,5,48320,0.08,3866, Office Supplies  , Binders and Binder Accessories ,44454,2011Q2,2011,May-2011,Tuesday
57,9126, Order Finished  , Sylvia Foulston        ,2009-11-17,47,5599400,0.04,223976, Office Supplies  , Appliances                     ,5375424,2009Q4,2009,November-2009,Tuesday
58,9127, Order Finished  , Bryan Davis            ,2011-10-10,7,4079120,0.04,163165, Office Supplies  , Storage & Organization         ,3915955,2011Q4,2011,October-2011,Monday
60,9763, Order Finished  , Alan Barnes            ,2011-08-13,44,352520,0.07,24676, Office Supplies  , Labels                         ,327844,2011Q3,2011,August-2011,Saturday
62,10022, Order Finished  , Delfina Latchford      ,2009-03-04,1,24360,0.06,1462, Office Supplies  , Paper                          ,22898,2009Q1,2009,March-2009,Wednesday
63,10437, Order Finished  , Don Jones              ,2009-08-18,50,1641040,0.01,16410, Office Supplies  , Binders and Binder Accessories ,1624630,2009Q3,2009,August-2009,Tuesday
65,10535, Order Finished  , Doug Bickford          ,2011-05-27,25,1709760,0.09,153878, Furniture        , Office Furnishings             ,1555882,2011Q2,2011,May-2011,Friday
66,10789, Order Finished  , Jamie Kunitz           ,2010-08-23,15,617080,0.0,0, Office Supplies  , Pens & Art Supplies            ,617080,2010Q3,2010,August-2010,Monday
67,10791, Order Finished  , Anthony Johnson        ,2011-08-19,20,801140,0.05,40057, Office Supplies  , Paper                          ,761083,2011Q3,2011,August-2011,Friday
68,10945, Order Finished  , Ralph Knight           ,2012-01-03,14,2340050,0.04,93602, Technology       , Telephones and Communication   ,2246448,2012Q1,2012,January-2012,Tuesday
70,11202, Order Finished  , Barry Weirich          ,2012-03-17,8,679620,0.05,33981, Office Supplies  , Binders and Binder Accessories ,645639,2012Q1,2012,March-2012,Saturday
71,11456, Order Finished  , Doug Bickford          ,2010-04-12,15,3039800,0.09,273582, Furniture        , Office Furnishings             ,2766218,2010Q2,2010,April-2010,Monday
72,11460, Order Finished  , Carl Jackson           ,2010-08-24,30,204480,0.09,18403, Office Supplies  , Labels                         ,186077,2010Q3,2010,August-2010,Tuesday
73,11495, Order Finished  , Brendan Dodson         ,2011-07-04,6,1931380,0.0,0, Furniture        , Tables                         ,1931380,2011Q3,2011,July-2011,Monday
74,11911, Order Returned  , Edward Hooks           ,2010-11-10,25,795680,0.0,0, Office Supplies  , Binders and Binder Accessories ,795680,2010Q4,2010,November-2010,Wednesday
75,11941, Order Finished  , Jamie Kunitz           ,2010-06-24,4,146140,0.08,11691, Office Supplies  , Storage & Organization         ,134449,2010Q2,2010,June-2010,Thursday
77,12289, Order Finished  , Brendan Dodson         ,2011-12-24,25,6038820,0.04,241553, Technology       , Office Machines                ,5797267,2011Q4,2011,December-2011,Saturday
78,12352, Order Finished  , Hunter Glantz          ,2012-03-23,5,73720,0.07,5160, Office Supplies  , Binders and Binder Accessories ,68560,2012Q1,2012,March-2012,Friday
81,12544, Order Finished  , Jim Radford            ,2009-03-03,34,148600,0.08,11888, Furniture        , Office Furnishings             ,136712,2009Q1,2009,March-2009,Tuesday
83,12771, Order Finished  , Carlos Soltero         ,2009-01-17,40,2286980,0.08,182958, Office Supplies  , Labels                         ,2104022,2009Q1,2009,January-2009,Saturday
85,13280, Order Finished  , Grant Carroll          ,2009-09-11,40,921360,0.01,9214, Office Supplies  , Storage & Organization         ,912146,2009Q3,2009,September-2009,Friday
86,13313, Order Finished  , Skye Norling           ,2009-07-16,47,2041220,0.04,81649, Office Supplies  , Appliances                     ,1959571,2009Q3,2009,July-2009,Thursday
87,13346, Order Finished  , Doug Bickford          ,2012-11-15,44,536680,0.09,48301, Office Supplies  , Paper                          ,488379,2012Q4,2012,November-2012,Thursday
88,13702, Order Finished  , Grant Carroll          ,2011-09-10,6,418000,0.08,33440, Office Supplies  , Paper                          ,384560,2011Q3,2011,September-2011,Saturday
89,13795, Order Finished  , Muhammed MacIntyre     ,2011-04-10,30,1002640,0.04,40106, Office Supplies  , Binders and Binder Accessories ,962534,2011Q2,2011,April-2011,Sunday
90,14116, Order Finished  , Doug Bickford          ,2011-10-09,1,80200,0.09,7218, Office Supplies  , Binders and Binder Accessories ,72982,2011Q4,2011,October-2011,Sunday
92,14726, Order Finished  , Ralph Knight           ,2012-01-08,15,621740,0.07,43522, Technology       , Computer Peripherals           ,578218,2012Q1,2012,January-2012,Sunday
94,15106, Order Returned  , Dorothy Badders        ,2011-01-27,42,567160,0.03,17015, Furniture        , Office Furnishings             ,550145,2011Q1,2011,January-2011,Thursday
95,15108, Order Finished  , Delfina Latchford      ,2009-08-27,50,4132320,0.02,82646, Office Supplies  , Paper                          ,4049674,2009Q3,2009,August-2009,Thursday
97,15591, Order Finished  , Brad Eason             ,2012-06-06,31,852680,0.0,0, Furniture        , Office Furnishings             ,852680,2012Q2,2012,June-2012,Wednesday
98,15907, Order Finished  , Thomas Seio            ,2011-04-11,36,3674880,0.01,36749, Furniture        , Bookcases                      ,3638131,2011Q2,2011,April-2011,Monday
99,15937, Order Finished  , Monica Federle         ,2012-11-06,32,622880,0.04,24915, Technology       , Computer Peripherals           ,597965,2012Q4,2012,November-2012,Tuesday
100,16039, Order Finished  , Michelle Lonsdale      ,2012-05-16,3,242240,0.1,24224, Technology       , Computer Peripherals           ,218016,2012Q2,2012,May-2012,Wednesday
101,16193, Order Finished  , Frank Price            ,2012-04-09,8,600400,0.0,0, Office Supplies  , Storage & Organization         ,600400,2012Q2,2012,April-2012,Monday
102,16423, Order Finished  , Bryan Davis            ,2012-08-05,19,256420,0.05,12821, Office Supplies  , Paper                          ,243599,2012Q3,2012,August-2012,Sunday
103,16451, Order Finished  , Don Jones              ,2009-07-22,9,505580,0.09,45502, Office Supplies  , Binders and Binder Accessories ,460078,2009Q3,2009,July-2009,Wednesday
104,16545, Order Finished  , Carlos Soltero         ,2010-05-09,10,101940,0.09,9175, Office Supplies  , Pens & Art Supplies            ,92765,2010Q2,2010,May-2010,Sunday
106,16706, Order Finished  , Beth Thompson          ,2012-06-27,47,3887440,0.03,116623, Furniture        , Office Furnishings             ,3770817,2012Q2,2012,June-2012,Wednesday
107,16741, Order Finished  , Nicole Hansen          ,2010-09-30,6,315940,0.01,3159, Office Supplies  , Paper                          ,312781,2010Q3,2010,September-2010,Thursday
108,16932, Order Finished  , Carlos Soltero         ,2010-04-15,25,289680,0.09,26071, Office Supplies  , Paper                          ,263609,2010Q2,2010,April-2010,Thursday
110,17286, Order Finished  , Muhammed MacIntyre     ,2010-09-21,7,3621340,0.09,325921, Furniture        , Chairs & Chairmats             ,3295419,2010Q3,2010,September-2010,Tuesday
111,17409, Order Finished  , Muhammed MacIntyre     ,2010-08-17,31,1267120,0.09,114041, Technology       , Computer Peripherals           ,1153079,2010Q3,2010,August-2010,Tuesday
112,17764, Order Finished  , Don Miller             ,2009-09-16,27,1288800,0.04,51552, Office Supplies  , Paper                          ,1237248,2009Q3,2009,September-2009,Wednesday
113,18080, Order Finished  , Sylvia Foulston        ,2009-06-22,7,2423960,0.1,242396, Furniture        , Chairs & Chairmats             ,2181564,2009Q2,2009,June-2009,Monday
114,18113, Order Finished  , Becky Castell          ,2012-08-28,27,6632160,0.08,530573, Furniture        , Chairs & Chairmats             ,6101587,2012Q3,2012,August-2012,Tuesday
115,18144, Order Finished  , Dorothy Wardle         ,2011-06-07,48,414160,0.09,37274, Office Supplies  , Paper                          ,376886,2011Q2,2011,June-2011,Tuesday
116,18308, Order Finished  , Ann Chong              ,2009-10-09,30,228240,0.05,11412, Office Supplies  , Binders and Binder Accessories ,216828,2009Q4,2009,October-2009,Friday
117,18887, Order Finished  , Clay Rozendal          ,2010-12-05,9,346834,0.0,0, Technology       , Telephones and Communication   ,346834,2010Q4,2010,December-2010,Sunday
119,19078, Order Returned  , Brendan Dodson         ,2009-07-27,21,512240,0.03,15367, Office Supplies  , Appliances                     ,496873,2009Q3,2009,July-2009,Monday
120,19138, Order Returned  , Carlos Daly            ,2011-09-05,30,774000,0.01,7740, Office Supplies  , Storage & Organization         ,766260,2011Q3,2011,September-2011,Monday
121,19655, Order Finished  , Alan Barnes            ,2009-01-11,31,2286900,0.06,137214, Technology       , Computer Peripherals           ,2149686,2009Q1,2009,January-2009,Sunday
122,19686, Order Finished  , Alan Barnes            ,2010-08-15,2,84620,0.06,5077, Technology       , Office Machines                ,79543,2010Q3,2010,August-2010,Sunday
123,20007, Order Finished  , Nicole Hansen          ,2009-08-05,49,165220,0.08,13218, Office Supplies  , Pens & Art Supplies            ,152002,2009Q3,2009,August-2009,Wednesday
124,20071, Order Finished  , Cari Schnelling        ,2011-09-17,31,1579880,0.1,157988, Furniture        , Chairs & Chairmats             ,1421892,2011Q3,2011,September-2011,Saturday
125,20160, Order Finished  , Chad Cunningham        ,2011-10-22,42,870480,0.08,69638, Office Supplies  , Paper                          ,800842,2011Q4,2011,October-2011,Saturday
126,20263, Order Finished  , Bryan Mills            ,2009-11-14,8,947400,0.05,47370, Office Supplies  , Binders and Binder Accessories ,900030,2009Q4,2009,November-2009,Saturday
127,21285, Order Finished  , Adrian Hane            ,2010-07-03,32,109560,0.02,2191, Office Supplies  , Pens & Art Supplies            ,107369,2010Q3,2010,July-2010,Saturday
129,21607, Order Finished  , Heather Kirkland       ,2012-03-15,17,1237800,0.09,111402, Office Supplies  , Pens & Art Supplies            ,1126398,2012Q1,2012,March-2012,Thursday
130,21636, Order Finished  , Fred Wasserman         ,2009-08-10,35,3330079,0.02,66602, Technology       , Telephones and Communication   ,3263477,2009Q3,2009,August-2009,Monday
131,21889, Order Finished  , Becky Castell          ,2010-04-01,21,2099580,0.08,167966, Furniture        , Office Furnishings             ,1931614,2010Q2,2010,April-2010,Thursday
132,22151, Order Finished  , Beth Thompson          ,2010-07-31,49,931660,0.1,93166, Furniture        , Office Furnishings             ,838494,2010Q3,2010,July-2010,Saturday
133,22342, Order Finished  , Claudia Miner          ,2009-05-29,13,483412,0.0,0, Technology       , Telephones and Communication   ,483412,2009Q2,2009,May-2009,Friday
134,22469, Order Finished  , Jack Lebron            ,2010-10-11,44,551820,0.1,55182, Technology       , Telephones and Communication   ,496638,2010Q4,2010,October-2010,Monday
135,22501, Order Finished  , Alan Barnes            ,2010-05-18,2,61660,0.04,2466, Office Supplies  , Envelopes                      ,59194,2010Q2,2010,May-2010,Tuesday
136,22532, Order Finished  , Carlos Soltero         ,2011-02-08,13,243320,0.03,7300, Office Supplies  , Binders and Binder Accessories ,236020,2011Q1,2011,February-2011,Tuesday
137,23264, Order Finished  , Clay Rozendal          ,2010-12-07,16,216840,0.02,4337, Office Supplies  , Paper                          ,212503,2010Q4,2010,December-2010,Tuesday
139,23584, Order Finished  , Alan Barnes            ,2012-03-12,14,5342420,0.06,320545, Technology       , Office Machines                ,5021875,2012Q1,2012,March-2012,Monday
140,24007, Order Finished  , Joy Bell               ,2010-08-26,26,1063320,0.08,85066, Technology       , Computer Peripherals           ,978254,2010Q3,2010,August-2010,Thursday
141,24038, Order Finished  , Jack Lebron            ,2011-06-20,38,206140,0.1,20614, Office Supplies  , Pens & Art Supplies            ,185526,2011Q2,2011,June-2011,Monday
142,24097, Order Finished  , Anthony Johnson        ,2010-08-04,1,34380,0.0,0, Technology       , Computer Peripherals           ,34380,2010Q3,2010,August-2010,Wednesday
143,24128, Order Finished  , Eugene Barchas         ,2010-11-23,13,541260,0.1,54126, Office Supplies  , Paper                          ,487134,2010Q4,2010,November-2010,Tuesday
145,24387, Order Finished  , Bryan Mills            ,2011-08-10,23,2006620,0.01,20066, Furniture        , Office Furnishings             ,1986554,2011Q3,2011,August-2011,Wednesday
146,24515, Order Finished  , Eugene Barchas         ,2010-05-06,41,6102540,0.1,610254, Technology       , Office Machines                ,5492286,2010Q2,2010,May-2010,Thursday
148,24871, Order Finished  , Carl Ludwig            ,2011-03-23,6,287560,0.04,11502, Furniture        , Office Furnishings             ,276058,2011Q1,2011,March-2011,Wednesday
149,25318, Order Finished  , Julia West             ,2011-11-19,22,881840,0.05,44092, Furniture        , Office Furnishings             ,837748,2011Q4,2011,November-2011,Saturday
151,25634, Order Finished  , Mike Pelletier         ,2010-07-29,29,1186640,0.03,35599, Technology       , Computer Peripherals           ,1151041,2010Q3,2010,July-2010,Thursday
152,25733, Order Finished  , Eugene Barchas         ,2012-05-12,24,1114460,0.09,100301, Office Supplies  , Binders and Binder Accessories ,1014159,2012Q2,2012,May-2012,Saturday
153,25767, Order Finished  , Ann Chong              ,2012-03-03,7,523760,0.08,41901, Technology       , Computer Peripherals           ,481859,2012Q1,2012,March-2012,Saturday
154,26023, Order Finished  , Charles McCrossin      ,2010-08-20,49,241540,0.03,7246, Office Supplies  , Rubber Bands                   ,234294,2010Q3,2010,August-2010,Friday
155,26051, Order Finished  , Annie Cyprus           ,2010-06-27,22,1591480,0.0,0, Furniture        , Chairs & Chairmats             ,1591480,2010Q2,2010,June-2010,Sunday
156,26116, Order Finished  , Carlos Soltero         ,2012-10-29,36,1394820,0.04,55793, Office Supplies  , Paper                          ,1339027,2012Q4,2012,October-2012,Monday
158,26272, Order Finished  , Carlos Daly            ,2012-06-29,6,1811880,0.04,72475, Furniture        , Chairs & Chairmats             ,1739405,2012Q2,2012,June-2012,Friday
159,26370, Order Finished  , Fred Wasserman         ,2011-08-08,12,540460,0.08,43237, Office Supplies  , Paper                          ,497223,2011Q3,2011,August-2011,Monday
160,26499, Order Finished  , Sylvia Foulston        ,2010-02-21,11,64800,0.05,3240, Office Supplies  , Labels                         ,61560,2010Q1,2010,February-2010,Sunday
162,26567, Order Finished  , Sylvia Foulston        ,2009-09-04,8,101400,0.08,8112, Office Supplies  , Binders and Binder Accessories ,93288,2009Q3,2009,September-2009,Friday
163,26854, Order Finished  , Charlotte Melton       ,2009-06-21,1,68220,0.02,1364, Furniture        , Office Furnishings             ,66856,2009Q2,2009,June-2009,Sunday
164,27109, Order Finished  , Barry French           ,2012-02-08,48,1076440,0.01,10764, Technology       , Computer Peripherals           ,1065676,2012Q1,2012,February-2012,Wednesday
165,27111, Order Finished  , Heather Kirkland       ,2009-03-11,11,2128460,0.06,127708, Technology       , Computer Peripherals           ,2000752,2009Q1,2009,March-2009,Wednesday
166,27264, Order Finished  , Henry Goldwyn          ,2011-06-04,3,148100,0.02,2962, Furniture        , Office Furnishings             ,145138,2011Q2,2011,June-2011,Saturday
169,27555, Order Finished  , Ralph Knight           ,2009-09-01,32,418840,0.1,41884, Office Supplies  , Paper                          ,376956,2009Q3,2009,September-2009,Tuesday
170,27680, Order Finished  , Delfina Latchford      ,2010-01-26,32,648800,0.1,64880, Office Supplies  , Appliances                     ,583920,2010Q1,2010,January-2010,Tuesday
171,27778, Order Finished  , Roy Skaria             ,2011-09-02,1,465340,0.02,9307, Office Supplies  , Binders and Binder Accessories ,456033,2011Q3,2011,September-2011,Friday
172,27909, Order Finished  , Monica Federle         ,2012-02-07,1,124520,0.09,11207, Office Supplies  , Paper                          ,113313,2012Q1,2012,February-2012,Tuesday
173,28003, Order Returned  , Charles McCrossin      ,2011-03-19,31,315580,0.09,28402, Office Supplies  , Paper                          ,287178,2011Q1,2011,March-2011,Saturday
174,28035, Order Finished  , Don Miller             ,2011-05-08,19,752420,0.03,22573, Office Supplies  , Binders and Binder Accessories ,729847,2011Q2,2011,May-2011,Sunday
175,28135, Order Finished  , Jeremy Lonsdale        ,2009-09-25,37,3202480,0.08,256198, Office Supplies  , Appliances                     ,2946282,2009Q3,2009,September-2009,Friday
176,28165, Order Finished  , Grant Carroll          ,2012-07-09,2,49920,0.05,2496, Office Supplies  , Binders and Binder Accessories ,47424,2012Q3,2012,July-2012,Monday
177,28289, Order Finished  , Carl Ludwig            ,2010-01-14,31,333520,0.01,3335, Office Supplies  , Paper                          ,330185,2010Q1,2010,January-2010,Thursday
178,28486, Order Finished  , Carlos Daly            ,2009-08-26,2,1622260,0.08,129781, Office Supplies  , Storage & Organization         ,1492479,2009Q3,2009,August-2009,Wednesday
179,28675, Order Finished  , Ralph Knight           ,2009-10-08,15,1645685,0.1,164569, Technology       , Telephones and Communication   ,1481116,2009Q4,2009,October-2009,Thursday
180,28870, Order Finished  , Cindy Schnelling       ,2011-11-10,35,6621891,0.05,331095, Technology       , Telephones and Communication   ,6290796,2011Q4,2011,November-2011,Thursday
181,28871, Order Finished  , Claudia Miner          ,2012-04-15,10,110040,0.08,8803, Technology       , Computer Peripherals           ,101237,2012Q2,2012,April-2012,Sunday
182,29030, Order Finished  , Roy Skaria             ,2012-01-02,10,385160,0.05,19258, Office Supplies  , Pens & Art Supplies            ,365902,2012Q1,2012,January-2012,Monday
183,29095, Order Returned  , Delfina Latchford      ,2011-03-08,40,583340,0.01,5833, Office Supplies  , Binders and Binder Accessories ,577507,2011Q1,2011,March-2011,Tuesday
184,29287, Order Finished  , Edward Hooks           ,2009-07-02,50,562780,0.1,56278, Office Supplies  , Binders and Binder Accessories ,506502,2009Q3,2009,July-2009,Thursday
188,29861, Order Returned  , Brad Eason             ,2012-04-25,11,70340,0.03,2110, Office Supplies  , Labels                         ,68230,2012Q2,2012,April-2012,Wednesday
190,30947, Order Finished  , Charles McCrossin      ,2010-07-14,17,1383180,0.03,41495, Office Supplies  , Binders and Binder Accessories ,1341685,2010Q3,2010,July-2010,Wednesday
191,31077, Order Finished  , Bryan Mills            ,2010-10-23,36,3910153,0.06,234609, Technology       , Telephones and Communication   ,3675544,2010Q4,2010,October-2010,Saturday
192,31111, Order Finished  , Monica Federle         ,2009-08-24,27,435860,0.03,13076, Office Supplies  , Paper                          ,422784,2009Q3,2009,August-2009,Monday
193,31169, Order Finished  , Michelle Lonsdale      ,2011-06-09,6,509520,0.06,30571, Furniture        , Office Furnishings             ,478949,2011Q2,2011,June-2011,Thursday
195,31364, Order Finished  , Beth Thompson          ,2009-05-01,2,1578020,0.07,110461, Office Supplies  , Storage & Organization         ,1467559,2009Q2,2009,May-2009,Friday
196,31393, Order Finished  , Cindy Schnelling       ,2012-05-11,4,195140,0.04,7806, Furniture        , Office Furnishings             ,187334,2012Q2,2012,May-2012,Friday
197,31492, Order Finished  , Nicole Hansen          ,2010-10-15,26,643360,0.04,25734, Office Supplies  , Appliances                     ,617626,2010Q4,2010,October-2010,Friday
198,31558, Order Finished  , Cari Schnelling        ,2011-07-23,12,7342600,0.04,293704, Office Supplies  , Appliances                     ,7048896,2011Q3,2011,July-2011,Saturday
199,31618, Order Finished  , Roy Skaria             ,2011-07-11,14,806340,0.02,16127, Office Supplies  , Binders and Binder Accessories ,790213,2011Q3,2011,July-2011,Monday
200,31684, Order Finished  , Susan Vittorini        ,2012-09-16,15,179940,0.02,3599, Office Supplies  , Paper                          ,176341,2012Q3,2012,September-2012,Sunday
201,31781, Order Finished  , Sylvia Foulston        ,2009-01-16,46,498040,0.1,49804, Office Supplies  , Binders and Binder Accessories ,448236,2009Q1,2009,January-2009,Friday
202,31781, Order Cancelled , Sylvia Foulston        ,2009-01-16,46,498040,0.1,49804, Office Supplies  , Binders and Binder Accessories ,448236,2009Q1,2009,January-2009,Friday
203,32193, Order Finished  , Chad Cunningham        ,2010-10-20,4,81440,0.1,8144, Office Supplies  , Paper                          ,73296,2010Q4,2010,October-2010,Wednesday
204,32229, Order Finished  , Carlos Daly            ,2010-08-30,8,2438380,0.02,48768, Technology       , Office Machines                ,2389612,2010Q3,2010,August-2010,Monday
205,32743, Order Finished  , Grant Carroll          ,2010-05-07,19,7097340,0.01,70973, Office Supplies  , Appliances                     ,7026367,2010Q2,2010,May-2010,Friday
206,32806, Order Finished  , Julia West             ,2011-06-21,8,357560,0.02,7151, Furniture        , Office Furnishings             ,350409,2011Q2,2011,June-2011,Tuesday
208,33159, Order Finished  , Cindy Schnelling       ,2012-04-27,3,113390,0.01,1134, Technology       , Telephones and Communication   ,112256,2012Q2,2012,April-2012,Friday
209,33186, Order Finished  , Don Jones              ,2012-08-28,24,2701062,0.01,27011, Technology       , Telephones and Communication   ,2674051,2012Q3,2012,August-2012,Tuesday
